#Image CLASS-ID SPECIES BREED ID
#ID: 1:37 Class ids
#SPECIES: 1:Cat 2:Dog
#BREED ID: 1-25:Cat 1:12:Dog
#All images with 1st letter as captial are cat images
#images with small first letter are dog images
basset_hound_115 4 2 3
basset_hound_116 4 2 3
basset_hound_117 4 2 3
basset_hound_118 4 2 3
basset_hound_119 4 2 3
basset_hound_11 4 2 3
basset_hound_120 4 2 3
basset_hound_121 4 2 3
basset_hound_122 4 2 3
basset_hound_123 4 2 3
basset_hound_124 4 2 3
basset_hound_125 4 2 3
basset_hound_126 4 2 3
basset_hound_127 4 2 3
basset_hound_128 4 2 3
basset_hound_129 4 2 3
basset_hound_12 4 2 3
basset_hound_130 4 2 3
basset_hound_131 4 2 3
basset_hound_132 4 2 3
basset_hound_133 4 2 3
basset_hound_134 4 2 3
basset_hound_135 4 2 3
basset_hound_136 4 2 3
basset_hound_137 4 2 3
basset_hound_138 4 2 3
basset_hound_139 4 2 3
basset_hound_13 4 2 3
basset_hound_140 4 2 3
basset_hound_141 4 2 3
basset_hound_142 4 2 3
basset_hound_143 4 2 3
basset_hound_144 4 2 3
basset_hound_145 4 2 3
beagle_100 5 2 4
beagle_101 5 2 4
beagle_102 5 2 4
beagle_103 5 2 4
beagle_104 5 2 4
beagle_105 5 2 4
beagle_107 5 2 4
beagle_108 5 2 4
beagle_109 5 2 4
beagle_10 5 2 4
beagle_110 5 2 4
beagle_111 5 2 4
beagle_112 5 2 4
beagle_113 5 2 4
beagle_114 5 2 4
beagle_115 5 2 4
beagle_116 5 2 4
beagle_117 5 2 4
beagle_118 5 2 4
beagle_119 5 2 4
beagle_120 5 2 4
beagle_121 5 2 4
beagle_122 5 2 4
beagle_123 5 2 4
beagle_124 5 2 4
beagle_125 5 2 4
beagle_126 5 2 4
beagle_127 5 2 4
beagle_128 5 2 4
beagle_129 5 2 4
beagle_12 5 2 4
beagle_130 5 2 4
beagle_131 5 2 4
beagle_133 5 2 4
beagle_134 5 2 4
beagle_135 5 2 4
beagle_136 5 2 4
beagle_137 5 2 4
beagle_138 5 2 4
beagle_139 5 2 4
beagle_13 5 2 4
beagle_140 5 2 4
beagle_141 5 2 4
beagle_142 5 2 4
beagle_143 5 2 4
beagle_144 5 2 4
beagle_145 5 2 4
beagle_146 5 2 4
beagle_147 5 2 4
beagle_148 5 2 4
Bengal_100 6 1 2
Bengal_101 6 1 2
Bengal_102 6 1 2
Bengal_103 6 1 2
Bengal_104 6 1 2
Bengal_105 6 1 2
Bengal_106 6 1 2
Bengal_107 6 1 2
Bengal_108 6 1 2
Bengal_109 6 1 2
Bengal_10 6 1 2
Bengal_110 6 1 2
Bengal_111 6 1 2
Bengal_112 6 1 2
Bengal_113 6 1 2
Bengal_114 6 1 2
Bengal_115 6 1 2
Bengal_116 6 1 2
Bengal_117 6 1 2
Bengal_118 6 1 2
Bengal_119 6 1 2
Bengal_11 6 1 2
Bengal_120 6 1 2
Bengal_121 6 1 2
Bengal_122 6 1 2
Bengal_123 6 1 2
Bengal_124 6 1 2
Bengal_125 6 1 2
Bengal_126 6 1 2
Bengal_127 6 1 2
Bengal_128 6 1 2
Bengal_129 6 1 2
Bengal_12 6 1 2
Bengal_130 6 1 2
Bengal_131 6 1 2
Bengal_132 6 1 2
Bengal_133 6 1 2
Bengal_134 6 1 2
Bengal_135 6 1 2
Bengal_136 6 1 2
Bengal_137 6 1 2
Bengal_138 6 1 2
Bengal_139 6 1 2
Bengal_13 6 1 2
Bengal_140 6 1 2
Bengal_141 6 1 2
Bengal_142 6 1 2
Bengal_143 6 1 2
Bengal_144 6 1 2
Bengal_145 6 1 2
Birman_100 7 1 3
Birman_101 7 1 3
Birman_102 7 1 3
Birman_103 7 1 3
Birman_104 7 1 3
Birman_105 7 1 3
Birman_106 7 1 3
Birman_107 7 1 3
Birman_108 7 1 3
Birman_109 7 1 3
Birman_10 7 1 3
Birman_110 7 1 3
Birman_111 7 1 3
Birman_112 7 1 3
Birman_113 7 1 3
Birman_114 7 1 3
Birman_115 7 1 3
Birman_116 7 1 3
Birman_117 7 1 3
Birman_118 7 1 3
Birman_119 7 1 3
Birman_11 7 1 3
Birman_120 7 1 3
Birman_121 7 1 3
Birman_122 7 1 3
Birman_123 7 1 3
Birman_124 7 1 3
Birman_125 7 1 3
Birman_126 7 1 3
Birman_127 7 1 3
Birman_128 7 1 3
Birman_129 7 1 3
Birman_12 7 1 3
Birman_130 7 1 3
Birman_131 7 1 3
Birman_132 7 1 3
Birman_133 7 1 3
Birman_134 7 1 3
Birman_135 7 1 3
Birman_136 7 1 3
Birman_137 7 1 3
Birman_138 7 1 3
Birman_139 7 1 3
Birman_13 7 1 3
Birman_140 7 1 3
Birman_141 7 1 3
Birman_142 7 1 3
Birman_143 7 1 3
Birman_144 7 1 3
Birman_145 7 1 3
Bombay_100 8 1 4
Bombay_101 8 1 4
Bombay_102 8 1 4
Bombay_103 8 1 4
Bombay_104 8 1 4
Bombay_105 8 1 4
Bombay_106 8 1 4
Bombay_107 8 1 4
Bombay_108 8 1 4
Bombay_109 8 1 4
Bombay_10 8 1 4
Bombay_110 8 1 4
Bombay_111 8 1 4
Bombay_112 8 1 4
Bombay_113 8 1 4
Bombay_114 8 1 4
Bombay_115 8 1 4
Bombay_116 8 1 4
Bombay_117 8 1 4
Bombay_118 8 1 4
Bombay_119 8 1 4
Bombay_120 8 1 4
Bombay_121 8 1 4
Bombay_122 8 1 4
Bombay_123 8 1 4
Bombay_125 8 1 4
Bombay_126 8 1 4
Bombay_127 8 1 4
Bombay_128 8 1 4
Bombay_129 8 1 4
Bombay_12 8 1 4
Bombay_130 8 1 4
Bombay_131 8 1 4
Bombay_132 8 1 4
Bombay_133 8 1 4
Bombay_134 8 1 4
Bombay_135 8 1 4
Bombay_136 8 1 4
Bombay_137 8 1 4
Bombay_138 8 1 4
Bombay_139 8 1 4
Bombay_13 8 1 4
Bombay_140 8 1 4
Bombay_141 8 1 4
Bombay_143 8 1 4
Bombay_144 8 1 4
Bombay_145 8 1 4
Bombay_146 8 1 4
Bombay_148 8 1 4
boxer_100 9 2 5
boxer_101 9 2 5
boxer_102 9 2 5
boxer_103 9 2 5
boxer_104 9 2 5
boxer_105 9 2 5
boxer_106 9 2 5
boxer_107 9 2 5
boxer_108 9 2 5
boxer_109 9 2 5
boxer_10 9 2 5
boxer_110 9 2 5
boxer_111 9 2 5
boxer_112 9 2 5
boxer_113 9 2 5
boxer_114 9 2 5
boxer_115 9 2 5
boxer_116 9 2 5
boxer_117 9 2 5
boxer_118 9 2 5
boxer_119 9 2 5
boxer_11 9 2 5
boxer_120 9 2 5
boxer_121 9 2 5
boxer_122 9 2 5
boxer_123 9 2 5
boxer_124 9 2 5
boxer_125 9 2 5
boxer_126 9 2 5
boxer_127 9 2 5
boxer_128 9 2 5
boxer_129 9 2 5
boxer_12 9 2 5
boxer_130 9 2 5
boxer_131 9 2 5
boxer_132 9 2 5
boxer_133 9 2 5
boxer_134 9 2 5
boxer_135 9 2 5
boxer_136 9 2 5
boxer_137 9 2 5
boxer_138 9 2 5
boxer_139 9 2 5
boxer_13 9 2 5
boxer_140 9 2 5
boxer_141 9 2 5
boxer_142 9 2 5
boxer_143 9 2 5
boxer_144 9 2 5
boxer_145 9 2 5
British_Shorthair_100 10 1 5
British_Shorthair_101 10 1 5
British_Shorthair_102 10 1 5
British_Shorthair_103 10 1 5
British_Shorthair_104 10 1 5
British_Shorthair_105 10 1 5
British_Shorthair_106 10 1 5
British_Shorthair_107 10 1 5
British_Shorthair_108 10 1 5
British_Shorthair_109 10 1 5
British_Shorthair_10 10 1 5
British_Shorthair_110 10 1 5
British_Shorthair_111 10 1 5
British_Shorthair_112 10 1 5
British_Shorthair_113 10 1 5
British_Shorthair_114 10 1 5
British_Shorthair_115 10 1 5
British_Shorthair_116 10 1 5
British_Shorthair_117 10 1 5
British_Shorthair_118 10 1 5
British_Shorthair_119 10 1 5
British_Shorthair_120 10 1 5
British_Shorthair_121 10 1 5
British_Shorthair_122 10 1 5
British_Shorthair_123 10 1 5
British_Shorthair_124 10 1 5
British_Shorthair_125 10 1 5
British_Shorthair_126 10 1 5
British_Shorthair_127 10 1 5
British_Shorthair_128 10 1 5
British_Shorthair_129 10 1 5
British_Shorthair_130 10 1 5
British_Shorthair_133 10 1 5
British_Shorthair_134 10 1 5
British_Shorthair_135 10 1 5
British_Shorthair_136 10 1 5
British_Shorthair_137 10 1 5
British_Shorthair_139 10 1 5
British_Shorthair_140 10 1 5
British_Shorthair_141 10 1 5
British_Shorthair_144 10 1 5
British_Shorthair_145 10 1 5
British_Shorthair_148 10 1 5
British_Shorthair_149 10 1 5
British_Shorthair_151 10 1 5
British_Shorthair_153 10 1 5
British_Shorthair_154 10 1 5
British_Shorthair_155 10 1 5
British_Shorthair_156 10 1 5
British_Shorthair_157 10 1 5
chihuahua_100 11 2 6
chihuahua_101 11 2 6
chihuahua_102 11 2 6
chihuahua_103 11 2 6
chihuahua_104 11 2 6
chihuahua_105 11 2 6
chihuahua_106 11 2 6
chihuahua_107 11 2 6
chihuahua_108 11 2 6
chihuahua_109 11 2 6
chihuahua_10 11 2 6
chihuahua_110 11 2 6
chihuahua_111 11 2 6
chihuahua_112 11 2 6
chihuahua_113 11 2 6
chihuahua_114 11 2 6
chihuahua_115 11 2 6
chihuahua_116 11 2 6
chihuahua_117 11 2 6
chihuahua_118 11 2 6
chihuahua_119 11 2 6
chihuahua_11 11 2 6
chihuahua_120 11 2 6
chihuahua_121 11 2 6
chihuahua_122 11 2 6
chihuahua_123 11 2 6
chihuahua_124 11 2 6
chihuahua_125 11 2 6
chihuahua_126 11 2 6
chihuahua_127 11 2 6
chihuahua_128 11 2 6
chihuahua_129 11 2 6
chihuahua_12 11 2 6
chihuahua_130 11 2 6
chihuahua_131 11 2 6
chihuahua_132 11 2 6
chihuahua_133 11 2 6
chihuahua_134 11 2 6
chihuahua_135 11 2 6
chihuahua_136 11 2 6
chihuahua_137 11 2 6
chihuahua_138 11 2 6
chihuahua_139 11 2 6
chihuahua_13 11 2 6
chihuahua_140 11 2 6
chihuahua_141 11 2 6
chihuahua_142 11 2 6
chihuahua_143 11 2 6
chihuahua_144 11 2 6
chihuahua_145 11 2 6
Egyptian_Mau_100 12 1 6
Egyptian_Mau_101 12 1 6
Egyptian_Mau_102 12 1 6
Egyptian_Mau_103 12 1 6
Egyptian_Mau_104 12 1 6
Egyptian_Mau_105 12 1 6
Egyptian_Mau_106 12 1 6
Egyptian_Mau_107 12 1 6
Egyptian_Mau_108 12 1 6
Egyptian_Mau_109 12 1 6
Egyptian_Mau_10 12 1 6
Egyptian_Mau_110 12 1 6
Egyptian_Mau_111 12 1 6
Egyptian_Mau_112 12 1 6
Egyptian_Mau_113 12 1 6
Egyptian_Mau_114 12 1 6
Egyptian_Mau_115 12 1 6
Egyptian_Mau_116 12 1 6
Egyptian_Mau_117 12 1 6
Egyptian_Mau_118 12 1 6
Egyptian_Mau_119 12 1 6
Egyptian_Mau_11 12 1 6
Egyptian_Mau_120 12 1 6
Egyptian_Mau_121 12 1 6
Egyptian_Mau_122 12 1 6
Egyptian_Mau_123 12 1 6
Egyptian_Mau_124 12 1 6
Egyptian_Mau_125 12 1 6
Egyptian_Mau_126 12 1 6
Egyptian_Mau_127 12 1 6
Egyptian_Mau_128 12 1 6
Egyptian_Mau_12 12 1 6
Egyptian_Mau_130 12 1 6
Egyptian_Mau_131 12 1 6
Egyptian_Mau_132 12 1 6
Egyptian_Mau_133 12 1 6
Egyptian_Mau_134 12 1 6
Egyptian_Mau_136 12 1 6
Egyptian_Mau_138 12 1 6
Egyptian_Mau_13 12 1 6
Egyptian_Mau_140 12 1 6
Egyptian_Mau_141 12 1 6
Egyptian_Mau_142 12 1 6
Egyptian_Mau_143 12 1 6
Egyptian_Mau_144 12 1 6
Egyptian_Mau_146 12 1 6
Egyptian_Mau_147 12 1 6
english_cocker_spaniel_100 13 2 7
english_cocker_spaniel_101 13 2 7
english_cocker_spaniel_102 13 2 7
english_cocker_spaniel_103 13 2 7
english_cocker_spaniel_104 13 2 7
english_cocker_spaniel_105 13 2 7
english_cocker_spaniel_106 13 2 7
english_cocker_spaniel_107 13 2 7
english_cocker_spaniel_108 13 2 7
english_cocker_spaniel_109 13 2 7
english_cocker_spaniel_10 13 2 7
english_cocker_spaniel_110 13 2 7
english_cocker_spaniel_111 13 2 7
english_cocker_spaniel_112 13 2 7
english_cocker_spaniel_113 13 2 7
english_cocker_spaniel_114 13 2 7
english_cocker_spaniel_115 13 2 7
english_cocker_spaniel_116 13 2 7
english_cocker_spaniel_117 13 2 7
english_cocker_spaniel_118 13 2 7
english_cocker_spaniel_119 13 2 7
english_cocker_spaniel_11 13 2 7
english_cocker_spaniel_120 13 2 7
english_cocker_spaniel_121 13 2 7
english_cocker_spaniel_122 13 2 7
english_cocker_spaniel_123 13 2 7
english_cocker_spaniel_124 13 2 7
english_cocker_spaniel_125 13 2 7
english_cocker_spaniel_126 13 2 7
english_cocker_spaniel_127 13 2 7
english_cocker_spaniel_128 13 2 7
english_cocker_spaniel_129 13 2 7
english_cocker_spaniel_12 13 2 7
english_cocker_spaniel_130 13 2 7
english_cocker_spaniel_131 13 2 7
english_cocker_spaniel_132 13 2 7
english_cocker_spaniel_133 13 2 7
english_cocker_spaniel_134 13 2 7
english_cocker_spaniel_135 13 2 7
english_cocker_spaniel_136 13 2 7
english_cocker_spaniel_137 13 2 7
english_cocker_spaniel_138 13 2 7
english_cocker_spaniel_139 13 2 7
english_cocker_spaniel_13 13 2 7
english_cocker_spaniel_140 13 2 7
english_cocker_spaniel_141 13 2 7
english_cocker_spaniel_142 13 2 7
english_cocker_spaniel_143 13 2 7
english_cocker_spaniel_144 13 2 7
english_cocker_spaniel_145 13 2 7
english_setter_100 14 2 8
english_setter_101 14 2 8
english_setter_102 14 2 8
english_setter_103 14 2 8
english_setter_104 14 2 8
english_setter_105 14 2 8
english_setter_106 14 2 8
english_setter_107 14 2 8
english_setter_108 14 2 8
english_setter_109 14 2 8
english_setter_10 14 2 8
english_setter_110 14 2 8
english_setter_111 14 2 8
english_setter_112 14 2 8
english_setter_113 14 2 8
english_setter_114 14 2 8
english_setter_115 14 2 8
english_setter_116 14 2 8
english_setter_117 14 2 8
english_setter_118 14 2 8
english_setter_119 14 2 8
english_setter_11 14 2 8
english_setter_120 14 2 8
english_setter_121 14 2 8
english_setter_122 14 2 8
english_setter_123 14 2 8
english_setter_124 14 2 8
english_setter_125 14 2 8
english_setter_126 14 2 8
english_setter_127 14 2 8
english_setter_128 14 2 8
english_setter_129 14 2 8
english_setter_12 14 2 8
english_setter_130 14 2 8
english_setter_131 14 2 8
english_setter_132 14 2 8
english_setter_133 14 2 8
english_setter_134 14 2 8
english_setter_135 14 2 8
english_setter_136 14 2 8
english_setter_137 14 2 8
english_setter_138 14 2 8
english_setter_139 14 2 8
english_setter_13 14 2 8
english_setter_140 14 2 8
english_setter_141 14 2 8
english_setter_142 14 2 8
english_setter_143 14 2 8
english_setter_144 14 2 8
english_setter_145 14 2 8
german_shorthaired_100 15 2 9
german_shorthaired_101 15 2 9
german_shorthaired_102 15 2 9
german_shorthaired_103 15 2 9
german_shorthaired_104 15 2 9
german_shorthaired_105 15 2 9
german_shorthaired_106 15 2 9
german_shorthaired_107 15 2 9
german_shorthaired_108 15 2 9
german_shorthaired_109 15 2 9
german_shorthaired_10 15 2 9
german_shorthaired_110 15 2 9
german_shorthaired_111 15 2 9
german_shorthaired_112 15 2 9
german_shorthaired_113 15 2 9
german_shorthaired_114 15 2 9
german_shorthaired_115 15 2 9
german_shorthaired_116 15 2 9
german_shorthaired_117 15 2 9
german_shorthaired_118 15 2 9
german_shorthaired_119 15 2 9
german_shorthaired_11 15 2 9
german_shorthaired_120 15 2 9
german_shorthaired_121 15 2 9
german_shorthaired_122 15 2 9
german_shorthaired_123 15 2 9
german_shorthaired_124 15 2 9
german_shorthaired_125 15 2 9
german_shorthaired_126 15 2 9
german_shorthaired_127 15 2 9
german_shorthaired_128 15 2 9
german_shorthaired_129 15 2 9
german_shorthaired_12 15 2 9
german_shorthaired_130 15 2 9
german_shorthaired_131 15 2 9
german_shorthaired_132 15 2 9
german_shorthaired_133 15 2 9
german_shorthaired_134 15 2 9
german_shorthaired_135 15 2 9
german_shorthaired_136 15 2 9
german_shorthaired_137 15 2 9
german_shorthaired_138 15 2 9
german_shorthaired_139 15 2 9
german_shorthaired_13 15 2 9
german_shorthaired_140 15 2 9
german_shorthaired_141 15 2 9
german_shorthaired_142 15 2 9
german_shorthaired_143 15 2 9
german_shorthaired_144 15 2 9
german_shorthaired_145 15 2 9
great_pyrenees_100 16 2 10
great_pyrenees_101 16 2 10
great_pyrenees_102 16 2 10
great_pyrenees_103 16 2 10
great_pyrenees_104 16 2 10
great_pyrenees_105 16 2 10
great_pyrenees_106 16 2 10
great_pyrenees_107 16 2 10
great_pyrenees_108 16 2 10
great_pyrenees_109 16 2 10
great_pyrenees_10 16 2 10
great_pyrenees_110 16 2 10
great_pyrenees_111 16 2 10
great_pyrenees_112 16 2 10
great_pyrenees_113 16 2 10
great_pyrenees_114 16 2 10
great_pyrenees_115 16 2 10
great_pyrenees_116 16 2 10
great_pyrenees_117 16 2 10
great_pyrenees_118 16 2 10
great_pyrenees_119 16 2 10
great_pyrenees_11 16 2 10
great_pyrenees_120 16 2 10
great_pyrenees_121 16 2 10
great_pyrenees_122 16 2 10
great_pyrenees_123 16 2 10
great_pyrenees_124 16 2 10
great_pyrenees_125 16 2 10
great_pyrenees_126 16 2 10
great_pyrenees_127 16 2 10
great_pyrenees_128 16 2 10
great_pyrenees_129 16 2 10
great_pyrenees_12 16 2 10
great_pyrenees_130 16 2 10
great_pyrenees_131 16 2 10
great_pyrenees_132 16 2 10
great_pyrenees_133 16 2 10
great_pyrenees_134 16 2 10
great_pyrenees_135 16 2 10
great_pyrenees_136 16 2 10
great_pyrenees_137 16 2 10
great_pyrenees_138 16 2 10
great_pyrenees_139 16 2 10
great_pyrenees_13 16 2 10
great_pyrenees_140 16 2 10
great_pyrenees_141 16 2 10
great_pyrenees_142 16 2 10
great_pyrenees_143 16 2 10
great_pyrenees_144 16 2 10
great_pyrenees_145 16 2 10
havanese_100 17 2 11
havanese_101 17 2 11
havanese_102 17 2 11
havanese_103 17 2 11
havanese_104 17 2 11
havanese_105 17 2 11
havanese_106 17 2 11
havanese_107 17 2 11
havanese_108 17 2 11
havanese_109 17 2 11
havanese_10 17 2 11
havanese_110 17 2 11
havanese_111 17 2 11
havanese_112 17 2 11
havanese_113 17 2 11
havanese_114 17 2 11
havanese_115 17 2 11
havanese_116 17 2 11
havanese_117 17 2 11
havanese_118 17 2 11
havanese_119 17 2 11
havanese_11 17 2 11
havanese_120 17 2 11
havanese_121 17 2 11
havanese_122 17 2 11
havanese_123 17 2 11
havanese_124 17 2 11
havanese_125 17 2 11
havanese_126 17 2 11
havanese_127 17 2 11
havanese_128 17 2 11
havanese_129 17 2 11
havanese_12 17 2 11
havanese_130 17 2 11
havanese_131 17 2 11
havanese_132 17 2 11
havanese_133 17 2 11
havanese_134 17 2 11
havanese_135 17 2 11
havanese_136 17 2 11
havanese_137 17 2 11
havanese_138 17 2 11
havanese_139 17 2 11
havanese_13 17 2 11
havanese_140 17 2 11
havanese_141 17 2 11
havanese_142 17 2 11
havanese_143 17 2 11
havanese_144 17 2 11
havanese_145 17 2 11
japanese_chin_100 18 2 12
japanese_chin_101 18 2 12
japanese_chin_102 18 2 12
japanese_chin_103 18 2 12
japanese_chin_104 18 2 12
japanese_chin_105 18 2 12
japanese_chin_106 18 2 12
japanese_chin_107 18 2 12
japanese_chin_108 18 2 12
japanese_chin_109 18 2 12
japanese_chin_10 18 2 12
japanese_chin_110 18 2 12
japanese_chin_111 18 2 12
japanese_chin_112 18 2 12
japanese_chin_113 18 2 12
japanese_chin_114 18 2 12
japanese_chin_115 18 2 12
japanese_chin_116 18 2 12
japanese_chin_117 18 2 12
japanese_chin_118 18 2 12
japanese_chin_119 18 2 12
japanese_chin_11 18 2 12
japanese_chin_120 18 2 12
japanese_chin_121 18 2 12
japanese_chin_122 18 2 12
japanese_chin_123 18 2 12
japanese_chin_124 18 2 12
japanese_chin_125 18 2 12
japanese_chin_126 18 2 12
japanese_chin_127 18 2 12
japanese_chin_128 18 2 12
japanese_chin_129 18 2 12
japanese_chin_12 18 2 12
japanese_chin_130 18 2 12
japanese_chin_131 18 2 12
japanese_chin_132 18 2 12
japanese_chin_133 18 2 12
japanese_chin_134 18 2 12
japanese_chin_135 18 2 12
japanese_chin_136 18 2 12
japanese_chin_137 18 2 12
japanese_chin_138 18 2 12
japanese_chin_139 18 2 12
japanese_chin_13 18 2 12
japanese_chin_140 18 2 12
japanese_chin_141 18 2 12
japanese_chin_142 18 2 12
japanese_chin_143 18 2 12
japanese_chin_144 18 2 12
japanese_chin_145 18 2 12
keeshond_100 19 2 13
keeshond_101 19 2 13
keeshond_102 19 2 13
keeshond_103 19 2 13
keeshond_104 19 2 13
keeshond_105 19 2 13
keeshond_106 19 2 13
keeshond_107 19 2 13
keeshond_108 19 2 13
keeshond_109 19 2 13
keeshond_10 19 2 13
keeshond_110 19 2 13
keeshond_111 19 2 13
keeshond_112 19 2 13
keeshond_113 19 2 13
keeshond_114 19 2 13
keeshond_115 19 2 13
keeshond_116 19 2 13
keeshond_117 19 2 13
keeshond_118 19 2 13
keeshond_119 19 2 13
keeshond_11 19 2 13
keeshond_120 19 2 13
keeshond_121 19 2 13
keeshond_122 19 2 13
keeshond_123 19 2 13
keeshond_124 19 2 13
keeshond_125 19 2 13
keeshond_126 19 2 13
keeshond_127 19 2 13
keeshond_128 19 2 13
keeshond_129 19 2 13
keeshond_12 19 2 13
keeshond_130 19 2 13
keeshond_131 19 2 13
keeshond_132 19 2 13
keeshond_133 19 2 13
keeshond_134 19 2 13
keeshond_135 19 2 13
keeshond_136 19 2 13
keeshond_137 19 2 13
keeshond_138 19 2 13
keeshond_139 19 2 13
keeshond_13 19 2 13
keeshond_140 19 2 13
keeshond_141 19 2 13
